Week,Tier 4,Tier 5,Spend,RB Conv,RB CPO,AOV,ROAS
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - couldbeyou - 004 - dp (buy now)_7.3.24,32.9400005340576,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set,bodi_video_get-offer_andg - l4 - july - liift4 - couldbeyou - 002 - dp (buy now)_7.3.24,8.44999995827674,0.0,,,
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg - l4 dp)_cpa_conversion_7.3.24 ad set Total,,1243.3699895441505,5.784135863302989,214.96209959946083,87.55087734386028,0.4072851796060512
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg infl - zoe dp)_cpa_conversion_7.3.24 ad set,bodi_video_learn-more_andg infl - zoe chin loy - dp_7.3.24,410.569999694824,0.708771861470619,579.2696098896182,88.57857381434552,0.1529142428708187
7/1/24-7/7/24,bodi_bodi_prospecting (asc andg infl - zoe dp)_cpa_conversion_7.3.24 ad set Total,,410.569999694824,0.708771861470619,579.2696098896182,88.57857381434552,0.1529142428708187
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_static_get-offer_andg - 80do - july - 80challenge - please - 003 - dp (buy now)_7.3.24,588.389991760253,6.88413479867925,85.47043440711505,95.57091279364884,1.1181751146650658
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_static_get-offer_andg - 80do - july - 80challenge - please - 001 - dp (buy now)_7.3.24,504.799995422363,3.07104148168407,164.37420283412953,92.59149553876831,0.5632970012466169
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_video_get-offer_andg - 80do - july - 80obsession - couldbeyou - 002 - dp (buy now)_7.3.24,284.120000839233,2.23418894826352,127.16919088694792,57.61509679032987,0.4530586094673598
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_video_get-offer_andg - 80do - july - 80obsession - couldbeyou - 001 - dp (buy now)_7.3.24,179.660003662109,1.04632668490269,171.7054589684078,87.80171417953838,0.5113507439253464
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_video_get-offer_andg - 80do - july - 80obsession - couldbeyou - 004 - dp (buy now)_7.3.24,37.2299993038177,0.566961511459539,65.6658318974349,50.3278802354606,0.766424162783302
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set,bodi_static_get-offer_andg - 80do - july - 80challenge - please - 002 - dp (buy now)_7.3.24,0.0,0.414441322032295,0.0,49.24025205627682,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 80do dp)_cpa_conversion_7.3.24 campaign ad set Total,,1594.1999909877757,14.217094747021363,112.1326135441123,85.23603780888527,0.7601360131979259
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - 21df - june - 21dayfix-value-static - dp (buy now)_7.12.24,600.41999053955,3.81384121025491,157.4318272415487,92.67479874968714,0.5886662206333639
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_static_get-offer_andg - 21df - 21dayfix-simple-static - dp (buy now)_6.21.24,450.710010528564,6.15868881273353,73.18278682902256,54.91472719264573,0.7503776444171684
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - june - 21dayfix-simple - dp (buy now)_7.12.24,240.740001678466,1.2042181461425,199.9139461978995,47.436071324499096,0.2372824519082876
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a6-veronica-ugc-nutrition plan - dp (buy now)_6.28.24,178.609996795654,0.0,,,
7/15/24-7/21/24,bodi_bodi_prospecting (asc andg - 21df dp)_cpa_conversion_6.21.24 ad set,bodi_video_get-offer_andg - 21df - a27-cydrose-pregnancy - dp (buy now)_6.28.24,70.0599994659423,0.0,,,
